system:index,POINT_ID,VH_20250101,VH_20250111,VH_20250121,VH_20250131,VH_20250210,VH_20250220,VH_20250302,VH_20250312,VH_20250322,VH_20250401,VH_20250411,VH_20250421,VH_20250501,VH_20250511,VH_20250521,VH_20250531,VH_20250610,VH_20250620,VH_20250630,VH_20250710,VH_20250720,VV_20250101,VV_20250111,VV_20250121,VV_20250131,VV_20250210,VV_20250220,VV_20250302,VV_20250312,VV_20250322,VV_20250401,VV_20250411,VV_20250421,VV_20250501,VV_20250511,VV_20250521,VV_20250531,VV_20250610,VV_20250620,VV_20250630,VV_20250710,VV_20250720,crop,.geo
0,1,,,,,,,,,-16.233859432774064,-21.386457724575013,-18.830278111109177,-19.585275710905293,-22.710950278555188,-25.196356601699964,-20.73999574693019,-19.66218151883603,,-17.76572803426224,-16.09347033519579,-19.49406217413228,-17.46489580201309,,,,,,,,,-9.20753278692595,-13.42433712446529,-11.907805884101863,-13.123886193858548,-15.050532609295221,-13.956757412932399,-12.285527455248976,-11.904451471959476,,-11.095542300607743,-10.938428734901121,-13.91973354228426,-13.58315218752287,суданская трава,"{""type"":""Polygon"",""coordinates"":[[[71.841594,51.02486097731904],[71.84151407724488,51.02485381419448],[71.84144051641032,51.02483289501186],[71.84137917298642,51.02479988495517],[71.84133492992086,51.02475741164729],[71.84131130893287,51.024708855984365],[71.84131019019333,51.02465808300983],[71.84133166268178,51.02460913425311],[71.84137401712621,51.0245659060236],[71.84143388208044,51.02453183926808],[71.84150649230129,51.02450964567777],[71.84158606805977,51.02450109184457],[71.84166627519353,51.02450685864609],[71.841740729285,51.02452648705006],[71.84180350383909,51.02455841465168],[71.84184960201635,51.024600100036054],[71.84187535437682,51.02464822506785],[71.84187871097514,51.02469895900826],[71.8418594045542,51.024748263437495],[71.84181897184122,51.02479221371249],[71.84176063124421,51.024827311371645],[71.8416890266779,51.02485076261864],[71.84160985790713,51.02486070071565],[71.841594,51.02486097731904]]]}"
1,2,,,,,,,,,-19.101043648641372,-26.572627566983634,-20.99007548949542,-19.309600935517054,-23.964433428176868,-28.55373059108939,-24.40556847980666,-21.512518701162197,,-17.678539736615278,-20.653413574554335,-18.41542712574976,-20.538118250563237,,,,,,,,,-9.801983934689305,-13.209181130463852,-12.393486230614778,-13.789909615808604,-15.22631934743979,-16.274195029189002,-13.909795761675275,-11.295895837995824,,-11.609956036517234,-12.31220120384076,-13.771774986226276,-12.642749855346858,лен,"{""type"":""Polygon"",""coordinates"":[[[71.839089,51.015393977319036],[71.83900909356257,51.015386814194486],[71.83893554774677,51.0153658950119],[71.83887421684717,51.015332884955235],[71.83882998281454,51.01529041164739],[71.83880636664911,51.01524185598448],[71.83880524813786,51.01519108300996],[71.83882671624225,51.01514213425321],[71.83886906203925,51.015098906023674],[71.83892891477106,51.01506483926813],[71.83900151016736,51.01504264567778],[71.8390810696792,51.01503409184456],[71.83916126043742,51.0150398586461],[71.83923569932792,51.015059487050095],[71.83929846106552,51.01509141465174],[71.83934454983104,51.015133100036145],[71.83937029693365,51.01518122506797],[71.83937365284656,51.01523195900838],[71.83935435036724,51.01528126343761],[71.83931392590922,51.01532521371255],[71.83925559722346,51.01536031137168],[71.83918400727649,51.015383762618654],[71.83910485466946,51.01539370071564],[71.839089,51.015393977319036]]]}"
2,3,,,,,,,,,-19.82551928861126,-25.239549744281042,-19.954541663075712,-20.60716583318771,-25.03815201171644,-28.793492223426806,-24.530559316182597,-20.442889123965227,,-19.05951504077122,-17.221862410473975,-19.759833916357373,-18.00080904516445,,,,,,,,,-13.893202684487509,-13.55711348288378,-13.2111772500026,-15.623070378212416,-14.979433659345487,-17.81796584235635,-12.962666986094922,-10.294698197370883,,-11.40414173625837,-13.089840351396305,-14.491411500106196,-13.233306634957627,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.909225,50.95202297731903],[71.90914520256385,50.95201581419455],[71.90907175707258,50.95199489501213],[71.90901050983477,50.95196188495567],[71.90896633614165,50.951919411648035],[71.9089427521905,50.95187085598525],[71.90894163520433,50.95182008301073],[71.9089630740234,50.95177113425387],[71.90900536205606,50.95172790602414],[71.90906513314263,50.95169383926837],[71.90913762951178,50.95167164567784],[71.9092170804969,50.951663091844566],[71.90929716186734,50.95166885864615],[71.90937149921601,50.95168848705029],[71.90943417534028,50.951720414652165],[71.90948020123574,50.95176210003678],[71.90950591321608,50.951810225068726],[71.90950926455046,50.95186095900916],[71.90948998840112,50.95191026343828],[71.9094496190859,50.95195421371305],[71.90939136996647,50.951989311371946],[71.90931987767598,50.95201276261874],[71.90924083304192,50.952022700715645],[71.909225,50.95202297731903]]]}"
3,4,,,,,,,,,-32.46198880102984,-26.833914147820444,-22.90817635036578,-23.652877644748447,-27.055639369472573,-21.921938821388657,-20.57646727030444,-20.608221897274067,,-18.499475340554667,-21.049624149207098,-22.26307551724136,-19.39108282973053,,,,,,,,,-19.42698402123846,-17.111659382179283,-11.8680056718884,-15.585461884547192,-15.54766209072368,-16.592551532444677,-15.49359607070115,-13.88630338990764,,-13.86345383847595,-13.92453431741447,-15.935586125797526,-15.629132198490153,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.920071,50.930314977319036],[71.9199912398119,50.93030781419458],[71.91991782860369,50.9302868950122],[71.91985660995489,50.930253884955825],[71.91981245688108,50.93021141164826],[71.91978888393825,50.930162855985515],[71.91978776747321,50.93011208301099],[71.91980919628487,50.930063134254105],[71.91985146457823,50.93001990602429],[71.91991120776487,50.92998583926846],[71.9199836702943,50.92996364567788],[71.92006308419353,50.92995509184457],[71.92014312818382,50.92996085864617],[71.92021743083346,50.92998048705037],[71.92028007770183,50.93001241465231],[71.92032608211323,50.930054100037],[71.92035178209154,50.930102225068985],[71.92035513186138,50.930152959009426],[71.92033586470953,50.93020226343852],[71.92029551423776,50.930246213713204],[71.92023729230789,50.93028131137204],[71.92016583338871,50.93030476261877],[71.9200868256513,50.93031470071565],[71.920071,50.930314977319036]]]}"
4,5,,,,,,,,,-23.88316882871518,-21.692484185953813,-22.54257075232306,-21.979157387830654,-29.267833001294715,-27.113294735076327,-27.133331306421073,-20.776073620957177,,-20.344078491827485,-20.36952759543802,-22.47022484366302,-23.186653776912937,,,,,,,,,-15.663545521960893,-15.845004425496809,-12.623506042418208,-14.859611822351532,-17.562848544804158,-16.18131094753363,-14.693372190947748,-12.660834162478237,,-13.250604702788557,-14.717011454758373,-15.934732469403823,-15.332442579945184,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.919362,50.92958797731903],[71.91928224105857,50.929580814194566],[71.91920883099775,50.92955989501221],[71.9191476133058,50.92952688495583],[71.91910346092206,50.92948441164827],[71.91907988834768,50.92943585598552],[71.91907877190009,50.929385083011],[71.91910020037682,50.92933613425411],[71.91914246800953,50.9292929060243],[71.91920221026238,50.929258839268456],[71.91927467165927,50.929236645677875],[71.91935408431728,50.92922809184456],[71.9194341270565,50.929233858646164],[71.91950842854483,50.92925348705036],[71.91957107443405,50.929285414652306],[71.91961707812641,50.92932710003701],[71.91964277770303,50.929375225068995],[71.9196461274205,50.92942595900943],[71.91962686056978,50.929475263438526],[71.91958651072868,50.92951921371321],[71.9195282897088,50.929554311372044],[71.9194568319065,50.92957776261878],[71.91937782540397,50.92958770071566],[71.919362,50.92958797731903]]]}"
5,6,,,,,,,,,-26.513242166464916,-20.763405939682308,-19.43121652809934,-20.996649120065978,-29.014533054859484,-28.094651303994205,-25.271873582635465,-20.92856475878645,,-20.74710386506554,-19.749011706566037,-23.38202997749834,-20.69899632856294,,,,,,,,,-14.2825848862265,-11.022005656758198,-8.313026408397917,-11.850127017732785,-16.33470430558165,-15.856991540799918,-13.78011325227591,-10.682293870659173,,-11.275610934960005,-12.783128001568024,-13.163599107050628,-13.846378802399482,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.918589,50.930194977319026],[71.9185092400177,50.93018781419457],[71.91843582899887,50.930166895012206],[71.91837461050801,50.93013388495582],[71.9183304575481,50.93009141164825],[71.9183068846661,50.9300428559855],[71.91830576820395,50.92999208301098],[71.91832719696032,50.92994313425409],[71.91836946514461,50.92989990602429],[71.91842920817713,50.92986583926846],[71.9185016705196,50.92984364567787],[71.91858108421395,50.92983509184456],[71.91866112799774,50.929840858646166],[71.91873543045568,50.92986048705036],[71.91879807716244,50.9298924146523],[71.91884408145515,50.92993410003699],[71.91886978136716,50.92998222506899],[71.91887313112834,50.93003295900942],[71.9188538640262,50.930082263438514],[71.91881351365855,50.9301262137132],[71.91875529187887,50.93016131137203],[71.91868383314403,50.930184762618765],[71.91860482561047,50.930194700715646],[71.918589,50.930194977319026]]]}"
6,7,,,,,,,,,-17.08398286219658,-24.75207741776517,-21.728740694799388,-21.584181849060435,-26.183097139208773,-25.98696954490751,-26.5758942900164,-21.83277647710978,,-20.15862360186861,-19.934216660491597,-21.126300211207433,-19.673109543375787,,,,,,,,,-10.119416380745811,-15.407852144914118,-12.832442268046218,-15.720676497379213,-14.894194800428966,-15.79992909752644,-14.00580853492248,-12.510187496460501,,-13.021263420368015,-12.539389952761857,-16.038715754243288,-14.055578907251649,пшеница,"{""type"":""Polygon"",""coordinates"":[[[72.018904,50.90774697731903],[72.01882427848666,50.907739814194585],[72.01875090287459,50.90771889501228],[72.01868971390982,50.907685884955974],[72.01864558224507,50.907643411648486],[72.0186220207322,50.907594855985785],[72.01862090480827,50.90754408301127],[72.01864232322923,50.90749513425434],[72.01868457102721,50.907451906024455],[72.0187442852453,50.90741783926855],[72.01881671263891,50.9073956456779],[72.01889608803175,50.90738709184456],[72.01897609321018,50.90739285864618],[72.01905035983177,50.907412487050436],[72.01911297632367,50.90744441465246],[72.01915895842815,50.90748610003721],[72.01918464594473,50.907534225069256],[72.01918799409005,50.9075849590097],[72.01916873628033,50.90763426343875],[72.01912840537379,50.907678213713375],[72.01907021167486,50.90771331137213],[72.01899878740515,50.9077367626188],[72.01891981797765,50.90774670071565],[72.018904,50.90774697731903]]]}"
7,8,,,,,,,,,-18.100363642842346,-25.980289257117814,-19.76803328967237,-19.17325090783728,-27.612854637161167,-25.4899644195678,-21.512744564564525,-17.057918720359122,,-19.393444084410163,-19.690293052324485,-21.027803151413178,-21.50675312102908,,,,,,,,,-12.169726475474853,-15.712302205482015,-12.35948916657071,-14.070480649087349,-13.182598906719898,-16.440955665429122,-12.086235079755841,-9.692286300943577,,-11.141222788277963,-13.073874665444228,-13.625246079446786,-12.92875666343431,пар,"{""type"":""Polygon"",""coordinates"":[[[71.997365,50.894690977319044],[71.99728530083794,50.894683814194615],[71.99721194579794,50.89466289501234],[71.99715077398847,50.894629884956075],[71.99710665469662,50.89458741164862],[71.99708309978948,50.89453885598594],[71.99708198417828,50.89448808301143],[71.99710339659413,50.89443913425447],[71.99714563254722,50.894395906024556],[71.99720533002355,50.8943618392686],[71.99727773711112,50.89433964567792],[71.99735709025,50.89433109184457],[71.99743707299788,50.894336858646206],[71.99751131879778,50.89435648705049],[71.99757391773423,50.89438841465255],[71.99761988694685,50.89443010003735],[71.99764556726144,50.89447822506942],[71.99764891446793,50.89452895900986],[71.9976296620573,50.894578263438895],[71.99758934245807,50.89462221371349],[71.99753116507462,50.894657311372185],[71.9974597608299,50.89468076261882],[71.9973808135428,50.89469070071566],[71.997365,50.894690977319044]]]}"
8,9,,,,,,,,,-18.598810426368836,-24.903017517487715,-24.11771664459993,-21.52516836953011,-29.933868053612432,-26.982801216043484,-25.515872118579356,-21.51321746627237,,-20.70022446790318,-22.540134035857623,-25.29720855366652,-22.208118532493618,,,,,,,,,-13.685786967444573,-15.468719423956173,-13.30453126749415,-15.964360295207637,-18.071916615887048,-15.688054081740654,-14.327754856484711,-12.20418223605794,,-14.089507700531344,-14.316492344923077,-17.453875864766964,-14.45933887818057,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.96092499999999,50.892954977319036],[71.96084530380865,50.892947814194606],[71.96077195150288,50.892926895012344],[71.9607107819735,50.892893884956095],[71.96066666432614,50.89285141164864],[71.96064311029696,50.89280285598596],[71.96064199472731,50.89275208301145],[71.960663406345,50.892703134254496],[71.96070564072382,50.89265990602457],[71.960765335975,50.89262583926861],[71.9608377403637,50.89260364567792],[71.96091709054483,50.89259509184457],[71.96099707031148,50.892600858646205],[71.96107131334398,50.89262048705049],[71.96113390994714,50.89265241465257],[71.96117987744631,50.89269410003736],[71.96120555680369,50.89274222506944],[71.96120890388539,50.89279295900988],[71.96118965219236,50.89284226343892],[71.96114933409598,50.8928862137135],[71.96109115888102,50.89292131137219],[71.9610197572978,50.892944762618825],[71.96094081295338,50.89295470071565],[71.96092499999999,50.892954977319036]]]}"
9,10,,,,,,,,,-19.013433568472898,-24.005260452740718,-22.369185996008213,-23.03938354621115,-29.57558957814697,-27.718026197596533,-25.041190946742045,-20.046910632912738,,-19.516028560843203,-19.881751907985684,-21.7355217086155,-19.940258922538995,,,,,,,,,-12.701918645976317,-15.351096168427063,-13.442453333966542,-15.147621168436164,-17.15133928029723,-17.017424302262295,-12.836599204554474,-12.162835439109427,,-13.752862715484138,-14.606908323845383,-16.51836598492996,-14.980816560142328,пшеница,"{""type"":""Polygon"",""coordinates"":[[[71.966423,50.87611897731904],[71.96634333260366,50.87611181419463],[71.96627000680076,50.8760908950124],[71.96620885937243,50.87605788495621],[71.96616475766503,50.87601541164882],[71.96614121214594,50.87596685598617],[71.96614009697919,50.87591608301166],[71.96616150086055,50.87586713425467],[71.96620371997967,50.87582390602469],[71.96626339366252,50.875789839268684],[71.96633577189107,50.87576764567794],[71.96641509340255,50.87575909184457],[71.96649504427208,50.87576485864622],[71.96656926048014,50.875784487050545],[71.96663183446671,50.87581641465267],[71.96667778535742,50.87585810003754],[71.9667034554365,50.875906225069635],[71.96670680130869,50.8759569590101],[71.96668755657127,50.8760062634391],[71.96664725304203,50.87605021371363],[71.96658909884623,50.87608531137228],[71.96651772306105,50.87610876261885],[71.96643880724001,50.87611870071565],[71.966423,50.87611897731904]]]}"
